"Reference","Value","Datasheet","Footprint","Qty","DK Part Number"
"C1,C2,C3,C4","C","~","Capacitor_SMD:C_0603_1608Metric","4",""
"D1,D2","Littel Fuse TVS Diode SMF20A","https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_smf4l_datasheet.pdf.pdf","Diode_SMD:D_SMF","2","18-SMF4L20AT1GCT-ND "
"F1,F2","Fuse_Small","~","","2","F3135CT-ND"
"FH1,FH2","~","https://www.littelfuse.com/~/media/electronics/datasheets/fuses/littelfuse_fuse_154_154t_154l_154tl_datasheet.pdf.pdf","OBI Components:Littel Fuse Holder 01550900M","2","F1889-ND"
"H1,H2,H3,H4","MountingHole","~","OBI Components:MountingHole_3.5mm_Pad_Via_CrtYd_CoperOverCorner","4",""
"J1,J2,J3","-- mixed values --","~","-- mixed values --","3",""
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10","R","~","Resistor_SMD:R_0603_1608Metric","10",""
"RV1,RV2,RV3,RV4","R_Potentiometer_US","~","Potentiometer_SMD:Potentiometer_Bourns_3224W_Vertical","4","3224W-103ECT-ND"
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12","TestPoint","~","-- mixed values --","12",""
"U1","ADG5412_4x_SPST","https://www.analog.com/media/en/technical-documentation/data-sheets/ADG5412_5413.pdf","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","1","ADG5412BRUZ-REEL7CT-ND"
"U2,U3","RV1S9261A","https://www.renesas.com/us/en/document/dst/rv1s9261a-data-sheet?r=1601791","OBI Components:LSSO5","2","559-RV1S9261ACCSP-10YC#KC0-ND"
