"Reference","Value","Power","Tolerance","Context","DK Part Number","Order Link"
"C1,C2,C11,C46","10u","","","","1276-CL32B106KAJ4PNECT-ND","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL32B106KAJ4PNE/11487783?s=N4IgTCBcDaIMIBkDMYBCBGADANgNIEEApAFgAUA5AAhAF0BfIA"
"C3,C4,C5,C6,C14,C17,C21,C22,C33,C42,C43,C62,C63,C64,C73,C75,C80,C84,C85,C86,C87,C88,C89","4.7u","","","","1276-3178-1-ND ","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL31B475KAHNNWE/3888836?s=N4IgTCBcDaIMIBkDMBGAQgFgOwFYDSAggBIByJA6iALoC%2BQA"
"C7,C8,C9,C10","100 uF","","","","P16498CT-ND","https://www.digikey.com/en/products/detail/panasonic-electronic-components/20SVPF120M/4204830"
"C12,C13,C15,C16,C24,C26,C27,C28,C29,C31,C32,C34,C35,C36,C37,C38,C39,C40,C41,C44,C45,C47,C48,C49,C53,C56,C57,C60,C61,C65,C66,C67,C68,C69,C70,C71,C72,C76,C77,C78,C79,C81,C82,C83","0.1 uF","","","","1276-1006-1-ND","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B104KA8NNNC/3886664"
"C18,C19,C20,C25","10u","","","","1276-CL32B106KAJ4PNECT-ND","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL32B106KAJ4PNE/11487783?s=N4IgTCBcDaIMIBkDMYBCBGADANgNIEEApAFgAUA5AAhAF0BfIA"
"C30,C52,C54","2.2 uF","","","","1276-2016-1-ND","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B225KP8NFNC/3887674?s=N4IgTCBcDaIMIBkCMAGAQmMBWA0gBQA4A5AMSJAF0BfIA"
"C50","12 pF","","","ADC input bandwidth","1276-1168-1-ND","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10C471JB8NNNC/3886826"
"C51,C55","C-Opt","","","DAC ouptut bandwidth","","Assortment"
"C58,C59","1 uF","","","","1276-1945-1-ND","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B105KP8NFNC/3887603?s=N4IgTCBcDaIMIBkCMAGAQqgrAaQAoA4A5AMUJAF0BfIA"
"C74","C","","","","","Assortment"
"D1,D2,D3,D4,D5,D6,D8,D9","LED","","","","1516-QBLP601D-OCT-ND","https://www.digikey.com/en/products/detail/qt-brightek-qtb/QBLP601D-O/13278855"
"D7","SS423(TE85L,F)","","","","1SS423(TE85LF)CT-ND ","https://www.digikey.com/en/products/detail/toshiba-semiconductor-and-storage/1SS423-TE85L-F/4305011"
"D10,D11,D12","SMF20A","","","","18-SMF4L20AT1GCT-ND ","https://www.digikey.com/en/products/detail/littelfuse-inc/SMF4L20AT1G/21320688"
"F1,F2,F3","Fuse_Small","","","","",""
"FB1,FB2,FB3,FB4","LI0603G221R-10","","","","240-2368-1-ND","https://www.digikey.com/en/products/detail/laird-signal-integrity-products/LI0603G221R-10/710125"
"FH1,FH2,FH3","Fuse_Holder","","","","F1889-ND","https://www.digikey.com/en/products/detail/littelfuse-inc/01550900M/2519878?s=N4IgTCBcDaIAwEYCsS4E45wLYgLoF8g"
"FID1,FID2,FID3","Fiducial","","","","","NA"
"GNDA1,GNDA2,GNDA3,GNDA4,GNDA5,GNDA6,GNDA7,GNDA8,GNDA9,GNDA10,GNDA11,GNDA12,GNDA13,GNDA14,GNDA15,GNDA16,GNDA17,GNDD1,GNDD2,GNDD3,GNDD4,GNDD5,GNDD6,GNDD7,GNDD8,GNDD9","TestPoint","","","","","NA"
"H1,H2,H3,H4","MountingHole","","","","","NA"
"J1","Conn_01x04_Shielded","","","","","https://www.binder-usa.com/us-en/products/automation-technology/m8/86-6319-1121-00004-m8-male-panel-mount-connector-4-shieldable-tht-ip67-front-fastened"
"J2,J3,J4","Conn_02x10_Odd_Even","","","","WM20559-ND","https://www.digikey.com/en/products/detail/molex/0878342019/3303513?s=N4IgTCBcDaILIHsA2BTAHgAgAwA4DsOAzACxhYCMAnCALoC%2BQA"
"J5,J6,J8","Coaxial Con Amphenol 031-5538-10RFX","","","","ARF1691-ND","https://www.digikey.com/en/products/detail/amphenol-rf/031-5538-10RFX/2041817"
